"","VT02","VT03","VT04","VT05","VT06","VT07","VT08","VT09","VT10","VT11","VT12"
"table",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"","PC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"VT02",NA,"0.0328881813582332","0.0970444752808939","0.0478848858081354","0.369393073835037","0.082701941439826","0.0585101878963933","0.0804619576092852","0.00654247798068718","0.136083313506453","0.0817449312728099"
"VT03",NA,NA,"4.53607781198648e-05","0.000376382162606197","0.00169355833685491","0.000236182981025273","1.28583753051326e-05","1.81922322186139e-05","0.102328859121052","3.51221532825217e-05","1.64201268062973e-05"
"VT04",NA,NA,NA,"0.000347598722412011","0.000211580756652477","0.00015899126914199","0.000317775568917718","0.000277540514860512","0.116186720184901","4.45458747193706e-05","1.09321420736792e-05"
"VT05",NA,NA,NA,NA,"0.000365997891614363","1.87929175167024e-05","0.00249570762444125","0.000446643477790334","0.0274016347290291","0.000362262444776825","7.00048921210556e-05"
"VT06",NA,NA,NA,NA,NA,"3.30399629026397e-05","0.0031983857367095","0.00098347755631303","0.162765117201903","0.000170691073212943","0.000174593348188447"
"VT07",NA,NA,NA,NA,NA,NA,"0.00116323243790224","0.000317490491954938","0.0324977096800523","0.000327837910169628","3.20177492929517e-06"
"VT08",NA,NA,NA,NA,NA,NA,NA,"0.000979915017386387","0.108828995323927","0.000708458381593559","0.000998146648861216"
"VT09",NA,NA,NA,NA,NA,NA,NA,NA,"0.0565556396219341","1.50801988086537e-07","1.26771809093997e-05"
"VT10",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.110280098168427","0.0824854203610787"
"VT11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9.12080928210772e-06"
"","PC2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"VT01","-0.672685686212003","0.750598333395546","-0.656992536446856","0.768058707306237","0.434453077747982","0.676205794463281","-0.622020681342044","0.800332207438045","0.685987623889391","0.621788520342379","0.605927381847636"
"VT02",NA,"-0.634282167709159","0.488511298353251","-0.709245665952137","-0.47806670419051","-0.677638601495851","0.648485325385248","-0.594457253798707","-0.799491003092748","-0.561068619292776","-0.513181384769386"
"VT03",NA,NA,"-0.856290723727329","0.84233224498609","0.28970608155593","0.766580765716352","-0.903731000433048","0.900554651298841","0.503407745407137","0.949540278550838","0.831382348224316"
"VT04",NA,NA,NA,"-0.827174487747984","-0.432146009381833","-0.674479819300146","0.793930615337862","-0.867719845023751","-0.458775593132223","-0.898655898641772","-0.806530241941747"
"VT05",NA,NA,NA,NA,"0.556350907886906","0.88691257983804","-0.793415549504507","0.924517729463606","0.633217778158033","0.841554732240777","0.914281156935133"
"VT06",NA,NA,NA,NA,NA,"0.722737822581912","-0.360785915092697","0.539679808864891","0.464633287188128","0.301102029720511","0.526802264383055"
